City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,butaritari,3.0707,172.7902,82.9,76,30,15.97,KI,1682548546
110,severo-kurilsk,50.6789,156.125,36.97,66,97,14.65,RU,1682548342
111,arraial do cabo,-22.9661,-42.0278,76.96,83,0,12.66,BR,1682548546
112,kuala terengganu,5.3302,103.1408,78.75,94,20,3.44,MY,1682548546
113,monrovia,6.3005,-10.7969,80.37,77,100,7.9,LR,1682548501
114,esperance,-33.8667,121.9,59.5,76,0,21.23,AU,1682548547
115,yantal,56.8471,105.2542,30.97,94,100,4.83,RU,1682548547
116,ternate,0.8,127.4,81.54,81,53,5.68,ID,1682548547
117,hay river,60.8156,-115.7999,39.16,69,20,8.05,CA,1682548547
118,hammerfest,70.6634,23.6821,36.05,69,75,14.97,NO,1682548301
119,stettler,52.3168,-112.7186,57.74,45,100,8.5,CA,1682548547
120,mount isa,-20.7333,139.5,71.37,56,75,2.3,AU,1682548547
121,terrace bay,48.7834,-87.1,34.39,81,76,6.87,CA,1682548548
122,dulovo,43.8167,27.15,49.55,71,100,13.96,BG,1682548548
123,adrar,20.5022,-10.0711,85.19,10,0,7.92,MR,1682548548
124,vila franca do campo,37.7167,-25.4333,63.01,92,99,11.63,PT,1682548548
125,kargasok,59.0556,80.8572,33.13,92,100,7.4,RU,1682548420
126,salalah,17.0151,54.0924,84.29,84,40,2.3,OM,1682548548
127,puerto escondido,15.85,-97.0667,84.45,64,68,8.39,MX,1682548548
128,broken hill,-31.95,141.4333,69.93,36,10,21.59,AU,1682548548
129,nanortalik,60.1432,-45.2371,32.22,95,42,3.78,GL,1682548549
130,the pas,53.8251,-101.2541,39.22,87,100,4.61,CA,1682548549
131,melipilla,-33.7,-71.2167,60.39,76,100,4.56,CL,1682548549
132,roma,43.2128,-75.4557,50.83,80,20,0.0,US,1682548549
133,bethel,41.3712,-73.414,56.64,61,75,11.5,US,1682548523
134,nyurba,63.2842,118.3319,30.96,95,100,4.9,RU,1682548549
135,graham,47.0529,-122.2943,71.33,44,0,5.75,US,1682548549
136,sakakah,29.9697,40.2064,72.97,19,0,5.26,SA,1682548550
137,los llanos de aridane,28.6585,-17.9182,64.15,92,0,4.61,ES,1682548550
138,gravdal,68.1214,13.5031,36.93,71,100,5.93,NO,1682548550
139,comodoro rivadavia,-45.8667,-67.5,58.86,25,0,1.14,AR,1682548550
140,saint george,37.1041,-113.5841,80.26,20,0,6.91,US,1682548550
141,ouadda,8.0777,22.4007,69.12,93,96,3.65,CF,1682548550
142,ancud,-41.8697,-73.8203,49.77,89,97,1.21,CL,1682548550
143,laguna,38.421,-121.4238,88.75,22,0,5.75,US,1682548551
144,qostanay,53.1667,63.5833,50.29,57,0,11.18,KZ,1682548551
145,balakhta,55.38,91.6,28.42,81,62,5.44,RU,1682548551
146,hilo,19.7297,-155.09,85.28,67,0,11.5,US,1682548331
147,sassandra,4.95,-6.0833,77.0,90,100,5.61,CI,1682548551
148,klaksvik,62.2266,-6.589,34.72,80,94,9.82,FO,1682548551
149,havoysund,70.9963,24.6622,37.63,81,98,13.22,NO,1682548551
150,narsaq,60.9167,-46.05,43.02,89,74,1.92,GL,1682548552
151,haines junction,60.7522,-137.5108,39.15,45,100,3.44,CA,1682548552
152,maiduguri,11.8464,13.1603,90.57,10,9,6.73,NG,1682548552
153,cuamba,-14.8031,36.5372,60.91,95,5,2.1,MZ,1682548552
154,alta floresta,-9.8756,-56.0861,73.36,91,99,2.57,BR,1682548552
155,hasaki,35.7333,140.8333,57.6,52,42,15.55,JP,1682548270
156,cedar city,37.6775,-113.0619,66.4,30,0,9.22,US,1682548329
157,diego de almagro,-26.3667,-70.05,63.16,54,0,4.36,CL,1682548552
158,aklavik,68.2191,-135.0107,20.43,81,100,9.48,CA,1682548553
159,port blair,11.6667,92.75,82.26,78,85,7.02,IN,1682548553
160,ostrovnoy,68.0531,39.5131,19.29,96,96,3.91,RU,1682548553
161,khatanga,71.9667,102.5,17.08,85,11,11.39,RU,1682548553
162,opunake,-39.4556,173.8583,64.85,64,0,10.13,NZ,1682548553
163,ziro,27.6333,93.8333,47.73,91,51,2.95,IN,1682548553
164,cairns,-16.9167,145.7667,78.06,91,100,5.75,AU,1682548553
165,boguchany,58.3814,97.4531,28.06,86,83,3.89,RU,1682548346
166,constitucion,-35.3333,-72.4167,60.15,68,100,6.71,CL,1682548256
167,faya,18.3851,42.4509,57.72,62,0,3.89,SA,1682548554
168,tezu,27.9167,96.1667,69.04,42,34,4.74,IN,1682548554
169,marsabit,2.3284,37.9899,64.72,89,64,10.58,KE,1682548554
170,cabra,37.4725,-4.4421,70.34,27,11,5.08,ES,1682548554
171,bandarbeyla,9.4942,50.8122,82.96,79,22,8.93,SO,1682548554
172,namtsy,62.7161,129.6658,30.18,83,68,7.07,RU,1682548554
173,chuy,-33.6971,-53.4616,62.94,94,60,6.31,UY,1682548548
174,tabas,33.5959,56.9244,72.07,41,100,8.16,IR,1682548555
175,luba,3.4568,8.5547,76.89,83,94,8.34,GQ,1682548555
176,pasni,25.2631,63.471,77.77,79,46,8.48,PK,1682548555
177,wajima,37.4,136.9,52.32,76,18,3.56,JP,1682548555
178,sao filipe,14.8961,-24.4956,74.44,72,1,6.67,CV,1682548555
179,carnarvon,-24.8667,113.6333,64.45,53,0,14.54,AU,1682548556
180,samarai,-10.6167,150.6667,81.64,77,63,5.97,PG,1682548556
181,daru,-9.0763,143.2092,80.65,83,100,15.3,PG,1682548556
182,vanavara,60.34,102.2797,30.45,95,99,6.89,RU,1682548556
183,lorengau,-2.0226,147.2712,84.74,71,100,5.79,PG,1682548556
184,gayeri,12.6497,0.4931,91.08,11,53,4.14,BF,1682548556
185,ahipara,-35.1667,173.1667,64.78,63,35,8.25,NZ,1682548556
186,santiago del estero,-27.7951,-64.2615,69.73,69,0,5.1,AR,1682548556
187,yellowknife,62.456,-114.3525,36.12,100,100,4.0,CA,1682548557
188,vao,-22.6667,167.4833,74.03,79,100,6.42,NC,1682548557
189,rocha,-34.4833,-54.3333,61.29,98,16,6.17,UY,1682548406
190,chokurdakh,70.6333,147.9167,26.94,91,100,3.53,RU,1682548557
191,mulchen,-37.7167,-72.2333,67.86,54,98,1.01,CL,1682548557
192,iqaluit,63.7506,-68.5145,33.53,86,75,9.22,CA,1682548532
193,nahavand,34.1885,48.377,50.79,40,0,0.81,IR,1682548557
194,cockburn town,21.4612,-71.1419,78.89,73,13,9.84,TC,1682548558
195,farafangana,-22.8167,47.8333,70.92,77,100,6.24,MG,1682548558
196,dzhebariki-khaya,62.2167,135.8,32.23,74,23,1.83,RU,1682548558
197,wasilla,61.5814,-149.4394,48.06,41,0,5.75,US,1682548558
198,bacolod,10.6667,122.95,81.68,76,99,7.9,PH,1682548558
199,coihaique,-45.5752,-72.0662,48.81,61,75,2.3,CL,1682548363
200,tasiilaq,65.6145,-37.6368,32.16,91,100,3.58,GL,1682548558
201,bengkulu,-3.8004,102.2655,77.14,87,100,2.62,ID,1682548558
202,ubatuba,-23.4339,-45.0711,72.3,93,100,5.03,BR,1682548559
203,harper,4.375,-7.7169,79.9,82,100,9.4,LR,1682548559
204,kavieng,-2.5744,150.7967,84.38,73,46,7.27,PG,1682548559
205,buala,-8.145,159.5921,84.9,68,15,3.8,SB,1682548559
206,abu samrah,35.3029,37.1841,56.93,56,18,5.84,SY,1682548559
207,kalamazoo,42.2506,-85.55,55.04,42,20,9.22,US,1682547975
208,champerico,14.3,-91.9167,93.74,63,29,12.06,GT,1682548559
209,minab,27.1467,57.0801,75.52,88,98,1.14,IR,1682548560
210,port-gentil,-0.7193,8.7815,80.56,94,40,5.75,GA,1682548498
211,bonthe,7.5264,-12.505,80.1,81,100,9.31,SL,1682548560
212,alto araguaia,-17.3147,-53.2153,69.15,88,10,1.74,BR,1682548560
213,guiyang,26.5833,106.7167,61.29,59,100,13.42,CN,1682548560
214,kijini,-5.85,39.3167,80.33,85,70,11.56,TZ,1682548560
215,padang,-0.9492,100.3543,77.29,89,100,4.14,ID,1682548561
216,manacapuru,-3.2997,-60.6206,76.12,92,87,5.82,BR,1682548561
217,sabirabad,40.0095,48.4752,55.99,81,19,5.39,AZ,1682548561
218,ribeira grande,38.5167,-28.7,62.78,91,7,32.01,PT,1682548518
219,aksarka,66.5606,67.7975,8.47,98,57,3.89,RU,1682548399
220,mendi,-6.1761,143.6513,63.45,80,99,0.87,PG,1682548562
221,mahajanga,-15.7167,46.3167,78.82,89,20,3.44,MG,1682548563
222,kalispell,48.1958,-114.3129,62.69,41,40,16.11,US,1682548563
223,caucaia,-3.7361,-38.6531,82.35,80,75,10.36,BR,1682548563
224,kruisfontein,-34.0033,24.7314,60.89,79,100,6.44,ZA,1682548564
225,tuatapere,-46.1333,167.6833,53.8,69,28,2.3,NZ,1682548564
226,fairbanks,64.8378,-147.7164,41.09,49,75,5.75,US,1682548556
227,ixtapa,20.7,-105.2,78.03,78,100,11.5,MX,1682548566
228,taoudenni,22.6783,-3.9836,87.53,10,0,10.87,ML,1682548566
